Size,Accuracy,Act Size Max,Act Size Sum,Loss,Weight Size
2,0.491313,301.0559692,1675.656128,3.057554483,1190.376099
2.2,0.549377,301.0559692,1899.880249,2.821365118,1267.944214
2.4,0.586039,451.5840149,2105.092041,2.661241531,1412.200073
2.6,0.604329,301.0559692,2048.644287,2.588719368,1471.796021
2.8,0.652995,451.5840149,2346.920166,2.37528491,1568.755981
3,0.663411,451.5840149,2498.464355,2.341173887,1605.244019
3.2,0.68573,451.5840149,2659.736084,2.245262861,1834.47644
3,0.664795,451.5840149,2525.120361,2.325422525,1719.435669
3.2,0.686157,451.5840149,2647.976318,2.250058413,1807.152222
3.4,0.690409,602.1119385,2810.263916,2.236905813,1966.431763
3.6,0.700724,602.1119385,3010.343994,2.183391809,2056.285156
3.8,0.716593,602.1119385,3172.472412,2.112771988,2179.568848
4,0.718241,602.1119385,3309.867432,2.106703758,2298.218994
