Size,Accuracy,Act Size Max,Act Size Sum,Loss,Weight Size
2,0.483683,301.0559692,1675.656128,3.097161055,1249.650024
2.2,0.528727,301.0559692,1843.431763,2.902370214,1302.603394
2.4,0.558675,301.0559692,1998.824097,2.771716833,1396.176758
2.6,0.594849,301.0559692,2098.195801,2.619756937,1509.507202
2.8,0.667603,451.5840149,2353.976318,2.335541248,1646.935669
3,0.656555,451.5840149,2515.284424,2.363207817,1588.143677
3.2,0.68752,451.5840149,2642.095947,2.24195075,1856.046997
3.4,0.668783,451.5840149,2843.031982,2.278407812,1810.013794
3.6,0.696187,451.5840149,3014.140381,2.18188715,2084.472656
3.8,0.725016,602.1119385,3172.632568,2.08767581,2193.304932
4,0.72408,602.1119385,3342.760498,2.093546629,2310.142334
2,0.482035,301.0559692,1675.656128,3.111297369,1249.454956
2.2,0.52769,301.0559692,1843.431763,2.900416136,1302.564697
2.4,0.556152,301.0559692,1998.824097,2.774740219,1396.394653
2.6,0.594788,301.0559692,2086.435791,2.620539904,1510.419067
2.8,0.667521,451.5840149,2349.859863,2.337683439,1647.059937
3,0.663879,451.5840149,2515.284424,2.355221033,1746.160767
3.2,0.668803,451.5840149,2642.095947,2.287887335,1695.681763
3.4,0.692118,451.5840149,2843.031982,2.209807158,1970.156372
3.6,0.695333,451.5840149,3014.140381,2.187028646,2083.500244
3.8,0.725606,602.1119385,3172.632568,2.088430166,2193.405762
4,0.72467,602.1119385,3342.760498,2.097197294,2309.869141
