Size,Accuracy,Act Size Max,Act Size Sum,Loss,Weight Size
2,0.600362,301.0559692,1976.480347,2.628715754,911.4358521
2.2,0.616435,301.0559692,2141.904053,2.560561657,952.0681152
2.4,0.631816,451.5840149,2385.924072,2.500720739,1125.717896
2.6,0.644775,451.5840149,2554.484131,2.448323965,1137.940186
2.8,0.658285,451.5840149,2742.252197,2.39916873,1215.856201
3,0.670939,451.5840149,2882.820068,2.341351748,1298.137939
3.2,0.680013,602.1119385,3127.784424,2.299480677,1356.603882
3,0.670532,451.5840149,2875.531982,2.345520735,1296.626099
3.2,0.680501,602.1119385,3127.784424,2.305655241,1387.324097
3.4,0.672241,602.1119385,3329.432373,2.332339287,1316.608154
3.6,0.674418,602.1119385,3526.804443,2.327039003,1502.992065
3.8,0.691223,602.1119385,3638.952881,2.259695053,1642.761108
4,0.693136,752.6400757,3915.668213,2.251176119,1671.901001
