Size,Accuracy,Act Size Max,Act Size Sum,Loss,Weight Size
2,0.633219,75.26399231,561.7280273,2.492749453,2992.87085
2.2,0.640401,75.26399231,577.3441162,2.445205927,3213.459229
2.4,0.651388,75.26399231,630.7841187,2.404531479,3505.356689
2.6,0.665995,75.26399231,684.0961304,2.343908072,3797.039307
2.8,0.672485,75.26399231,702.9120483,2.314003229,4027.0896
3,0.675496,100.3519974,768.8320313,2.307119131,4380.734375
3.2,0.676961,100.3519974,815.8080444,2.295490026,4661.047852
3.4,0.681274,100.3519974,859.776062,2.277378082,4685.288574
3.6,0.682149,100.3519974,916.223938,2.269413233,4779.628906
3.8,0.687012,100.3519974,960.1279907,2.255245924,5086.714355
4,0.688761,100.3519974,997.8241577,2.247362852,5822.602051
2,0.622009,75.26399231,561.7280273,2.511006117,2928.953857
2.2,0.639648,75.26399231,577.3441162,2.446362972,3213.402588
2.4,0.652059,75.26399231,630.7841187,2.404654264,3505.555908
2.6,0.664836,75.26399231,684.0961304,2.346661329,3796.717529
2.8,0.675578,75.26399231,718.59198,2.304919481,4026.086182
3,0.675415,100.3519974,768.8320313,2.3076334,4380.680664
3.2,0.676514,100.3519974,815.8080444,2.296992302,4658.88623
3.4,0.681742,100.3519974,859.776062,2.279296637,4685.628906
3.6,0.682922,100.3519974,916.223938,2.27294755,4784.449219
3.8,0.687154,100.3519974,960.1279907,2.253616333,5019.839844
4,0.688619,100.3519974,997.8241577,2.248659849,5762.154785
