Wall time,Step,Value
1645462370.050715,256,2306.2255859375
1645462426.88849,512,2306.220703125
1645462483.897737,768,2306.220703125
1645462540.47829,1024,2306.220703125
1645462624.4684727,1280,2306.220703125
1645462680.69783,1536,2306.220703125
1645462736.997154,1792,2306.220703125
1645462793.286746,2048,2306.220703125
1645462849.57024,2304,2306.220703125
1645462911.572373,2560,2306.220703125
1645462968.091955,2816,2306.220703125
1645463024.495234,3072,2306.220703125
1645463081.157076,3328,2306.220703125
1645463137.62713,3584,2306.220703125
1645463200.41479,3840,2306.220703125
1645463256.752242,4096,2306.220703125
1645463313.116411,4352,2306.220703125
1645463369.734829,4608,2306.220703125
1645463426.110615,4864,2306.220703125
1645463487.292272,5120,2306.220703125
1645463543.809491,5376,2306.220703125
1645463600.1892,5632,2306.220703125
1645463656.542356,5888,2306.220703125
1645463712.976755,6144,2306.220703125
1645463774.7856147,6400,2306.220703125
1645463831.241604,6656,2306.220703125
1645463887.658022,6912,2306.220703125
1645463944.101871,7168,2306.220703125
1645464001.1299,7424,2306.220703125
1645464063.037138,7680,2306.220703125
1645464119.475005,7936,2306.220703125
1645464176.003262,8192,2306.220703125
1645464232.591533,8448,2306.220703125
1645464289.055626,8704,2306.220703125
1645464350.57341,8960,2306.220703125
1645464407.173755,9216,2306.220703125
1645464463.763938,9472,2306.220703125
1645464520.374306,9728,2306.220703125
1645464576.948646,9984,2306.220703125
1645464638.140492,10240,2306.220703125
1645464694.5949178,10496,2306.220703125
1645464751.248808,10752,2306.220703125
1645464807.680623,11008,2306.220703125
1645464869.746467,11264,2306.220703125
1645464926.131566,11520,2306.220703125
1645464982.584905,11776,2306.220703125
1645465039.210012,12032,2306.220703125
1645465095.595392,12288,2306.220703125
1645465158.103605,12544,2306.220703125
1645465214.656497,12800,2306.220703125
1645465271.245103,13056,2306.220703125
1645465327.780381,13312,2306.220703125
1645465384.30358,13568,2306.220703125
1645465446.026,13824,2306.220703125
1645465502.506086,14080,2306.220703125
1645465559.005843,14336,2306.220703125
1645465615.502972,14592,2306.220703125
1645465671.940435,14848,2306.220703125
1645465733.034664,15104,2306.220703125
1645465789.509015,15360,2306.220703125
1645465846.193137,15616,2306.220703125
1645465902.689523,15872,2306.220703125
1645465970.68309,16128,2306.220703125
1645466032.721149,16384,2306.220703125
1645466089.206238,16640,2306.220703125
1645466145.820744,16896,2306.220703125
1645466202.291047,17152,2306.220703125
1645466258.892524,17408,2306.220703125
1645466320.4644392,17664,2306.220703125
1645466377.047898,17920,2306.220703125
1645466433.373653,18176,2306.220703125
1645466489.955191,18432,2306.220703125
1645466546.391751,18688,2306.220703125
1645466607.787529,18944,2306.220703125
1645466664.2881837,19200,2306.220703125
1645466720.760869,19456,2306.220703125
1645466777.351359,19712,2306.220703125
1645466833.719248,19968,2306.220703125
1645466894.621049,20224,2306.220703125
1645466950.874477,20480,2306.220703125
1645467007.335979,20736,2306.220703125
1645467063.769901,20992,2306.220703125
1645467120.239182,21248,2306.220703125
1645467182.353299,21504,2306.220703125
1645467238.798193,21760,2306.220703125
1645467295.277245,22016,2306.220703125
1645467351.768227,22272,2306.220703125
1645467413.985741,22528,2306.220703125
1645467470.463622,22784,2306.220703125
1645467526.86993,23040,2306.220703125
1645467583.4168751,23296,2306.220703125
1645467639.855961,23552,2306.220703125
1645467701.8340778,23808,2306.220703125
1645467758.229817,24064,2306.220703125
1645467815.022184,24320,2306.220703125
1645467871.47051,24576,2306.220703125
1645467927.95311,24832,2306.220703125
1645467990.093431,25088,2306.220703125
1645468046.498399,25344,2306.220703125
1645468102.861907,25600,2306.220703125
1645468159.291381,25856,2306.220703125
1645468215.781598,26112,2306.220703125
1645468277.262305,26368,2306.220703125
1645468333.6939096,26624,2306.220703125
1645468390.228485,26880,2306.220703125
1645468446.6643252,27136,2306.220703125
1645468503.178294,27392,2306.220703125
1645468564.320713,27648,2306.220703125
1645468620.870383,27904,2306.220703125
1645468677.348192,28160,2306.220703125
1645468733.892146,28416,2306.220703125
1645468790.39058,28672,2306.220703125
1645468851.572992,28928,2306.220703125
1645468908.290393,29184,2306.220703125
1645468965.0089548,29440,2306.220703125
1645469021.690899,29696,2306.220703125
1645469078.251383,29952,2306.220703125
1645469140.131015,30208,2306.220703125
1645469196.625153,30464,2306.220703125
1645469253.017762,30720,2306.220703125
1645469309.514111,30976,2306.220703125
1645469366.03228,31232,2306.220703125
1645469427.241494,31488,2306.220703125
1645469483.657671,31744,2306.220703125
1645469551.850915,32000,2306.220703125
1645469608.312908,32256,2306.220703125
1645469664.901129,32512,2306.220703125
1645469726.240386,32768,2306.220703125
1645469782.731558,33024,2306.220703125
1645469839.161796,33280,2306.220703125
1645469895.572321,33536,2306.220703125
1645469956.857787,33792,2306.220703125
1645470013.376331,34048,2306.220703125
1645470069.989375,34304,2306.220703125
1645470126.587775,34560,2306.220703125
1645470183.159219,34816,2306.220703125
1645470244.193788,35072,2306.220703125
1645470301.124915,35328,2306.220703125
1645470357.957621,35584,2306.220703125
1645470414.583381,35840,2306.220703125
1645470471.312904,36096,2306.220703125
1645470533.03956,36352,2306.220703125
1645470589.502997,36608,2306.220703125
1645470646.093915,36864,2306.220703125
1645470702.537478,37120,2306.220703125
1645470758.871449,37376,2306.220703125
1645470820.740995,37632,2306.220703125
1645470877.091111,37888,2306.220703125
1645470933.552715,38144,2306.220703125
1645470990.055739,38400,2306.220703125
1645471046.595035,38656,2306.220703125
1645471108.633307,38912,2306.220703125
1645471165.085505,39168,2306.220703125
1645471221.359938,39424,2306.220703125
1645471277.68329,39680,2306.220703125
1645471334.185937,39936,2306.220703125
1645471395.133914,40192,2306.220703125
1645471451.43703,40448,2306.220703125
1645471507.934001,40704,2306.220703125
1645471564.67419,40960,2306.220703125
1645471621.411364,41216,2306.220703125
1645471683.42,41472,2306.220703125
1645471739.895871,41728,2306.220703125
1645471796.426481,41984,2306.220703125
1645471852.849659,42240,2306.220703125
1645471909.52547,42496,2306.220703125
1645471970.523526,42752,2306.220703125
1645472027.320748,43008,2306.220703125
1645472083.642141,43264,2306.220703125
1645472140.077755,43520,2306.220703125
1645472196.39293,43776,2306.220703125
1645472257.904629,44032,2306.220703125
1645472314.391024,44288,2306.220703125
1645472370.936299,44544,2306.220703125
1645472427.317024,44800,2306.220703125
1645472488.707061,45056,2306.220703125
1645472545.274444,45312,2306.220703125
1645472601.829692,45568,2306.220703125
1645472658.281941,45824,2306.220703125
1645472714.7668512,46080,2306.220703125
1645472776.402909,46336,2306.220703125
1645472832.822908,46592,2306.220703125
1645472889.179739,46848,2306.220703125
1645472945.498206,47104,2306.220703125
1645473001.842663,47360,2306.220703125
1645473063.269708,47616,2306.220703125
1645473130.732548,47872,2306.220703125
1645473187.004003,48128,2306.220703125
1645473243.397192,48384,2306.220703125
1645473299.67372,48640,2306.220703125
1645473360.79613,48896,2306.220703125
1645473417.021134,49152,2306.220703125
1645473473.607094,49408,2306.220703125
1645473530.092232,49664,2306.220703125
1645473586.401128,49920,2306.220703125
1645473647.7891421,50176,2306.220703125
1645473704.106286,50432,2306.220703125
1645473760.358412,50688,2306.220703125
1645473816.758926,50944,2306.220703125
1645473873.079071,51200,2306.220703125
1645473933.87178,51456,2306.220703125
1645473990.287093,51712,2306.220703125
1645474046.6020727,51968,2306.220703125
1645474103.009634,52224,2306.220703125
1645474159.3930671,52480,2306.220703125
1645474220.724139,52736,2306.220703125
1645474277.1014342,52992,2306.220703125
1645474333.550807,53248,2306.220703125
1645474390.004231,53504,2306.220703125
1645474446.380809,53760,2306.220703125
1645474507.824141,54016,2306.220703125
1645474564.27165,54272,2306.220703125
1645474620.80509,54528,2306.220703125
1645474677.096564,54784,2306.220703125
1645474733.544554,55040,2306.220703125
1645474794.652887,55296,2306.220703125
1645474851.166145,55552,2306.220703125
1645474907.530655,55808,2306.220703125
1645474964.001275,56064,2306.220703125
1645475025.418727,56320,2306.220703125
1645475081.611064,56576,2306.220703125
1645475138.208793,56832,2306.220703125
1645475194.69326,57088,2306.220703125
1645475251.077224,57344,2306.220703125
1645475312.308295,57600,2306.220703125
1645475368.632427,57856,2306.220703125
1645475425.229691,58112,2306.220703125
1645475481.606839,58368,2306.220703125
1645475537.900134,58624,2306.220703125
1645475599.316212,58880,2306.220703125
1645475655.845148,59136,2306.220703125
1645475712.084353,59392,2306.220703125
1645475768.3808992,59648,2306.220703125
1645475824.896707,59904,2306.220703125
1645475886.114899,60160,2306.220703125
1645475942.333781,60416,2306.220703125
1645475998.890865,60672,2306.220703125
1645476055.283051,60928,2306.220703125
1645476111.649677,61184,2306.220703125
1645476173.247046,61440,2306.220703125
1645476229.664761,61696,2306.220703125
1645476286.100106,61952,2306.220703125
1645476342.937609,62208,2306.220703125
1645476399.743761,62464,2306.220703125
