Size,Accuracy,Act Size Max,Act Size Sum,Loss,Weight Size
2,0.5948893,301.0559998,1976.480103,2.663826227,911.2920532
2.1,0.5960286,301.0559998,2052.920166,2.634834051,908.0039673
2.2,0.6098633,301.0559998,2147.78418,2.5771873,938.1240234
2.3,0.6271159,301.0559998,2280.280029,2.513437271,979.7160034
2.4,0.6193034,301.0559998,2381.612061,2.518483877,961.1699829
2.5,0.6236979,301.0559998,2374.556396,2.517779112,971.0940552
2.6,0.6276042,451.5840149,2568.595947,2.482824087,991.4280396
2.7,0.6355794,451.5840149,2671.692139,2.447649717,1031.736206
2.8,0.6552734,451.5840149,2751.660156,2.402324915,1206.832031
2.9,0.6663411,451.5840149,2838.683838,2.376128435,1258.257935
3,0.6669922,451.5840149,2897.092041,2.355774164,1297.058105
3.1,0.6775716,451.5840149,2931.78418,2.32673955,1305.692017
3.2,0.6821289,451.5840149,3046.248047,2.295647621,1387.455078
3.3,0.6765950,602.1119995,3233.78418,2.319715261,1350.777222
3.4,0.6850586,602.1119995,3366.120361,2.286944389,1367.174927
3.5,0.6834310,602.1119995,3456.048096,2.280061483,1405.737183
3.6,0.6886393,602.1119995,3550.128174,2.27717042,1554.487183
3.7,0.6876628,602.1119995,3664.00415,2.267497063,1567.89209
3.8,0.6914063,602.1119995,3755.535889,2.259185791,1621.825073
3.9,0.6901042,752.6400757,3815.904297,2.268988848,1691.373047
4,0.6967773,752.6400757,3969.960205,2.254924536,1685.346069
