Size,Accuracy,Act Size Max,Act Size Sum,Loss,Weight Size
2,0.4611002505,96.79999542,1873.976196,3.183799744,696.4076538
2.1,0.4680989683,96.79999542,1929.980103,3.174505472,711.4569702
2.2,0.5066731572,96.79999542,1998.764038,3.011734247,764.2269897
2.3,0.4650065005,96.79999542,2058.552002,3.20217514,750.4343872
2.4,0.4742838442,145.2000122,2151.418213,3.15510869,777.3154907
2.5,0.530924499,145.2000122,2255.156006,2.886402845,835.8630981
2.6,0.4884440005,145.2000122,2343.880127,3.12187767,829.9512329
2.7,0.5572916865,145.2000122,2422.280029,2.807217598,888.0673218
2.8,0.54296875,145.2000122,2498.935791,2.863936186,877.9736938
2.9,0.5947265625,145.2000122,2572.488037,2.648002625,919.5448608
3,0.5864257813,145.2000122,2678.252197,2.685716867,939.2921753
3.1,0.5846354365,145.2000122,2764.252197,2.684741974,974.9243164
3.2,0.5924479365,145.2000122,2856.112061,2.660651922,1007.066223
3.3,0.5930989385,145.2000122,2915.252197,2.653628588,1040.075684
3.4,0.6184895635,193.5999908,3021.478271,2.570254326,1094.068726
3.5,0.625,193.5999908,3122.334229,2.534212589,1125.643188
3.6,0.6318359375,193.5999908,3213.940186,2.511644602,1157.870239
3.7,0.6352539063,193.5999908,3298.095947,2.490754843,1189.738892
3.8,0.6385090947,193.5999908,3393.980225,2.485871315,1221.581177
3.9,0.642578125,193.5999908,3482.703857,2.465678453,1253.473633
4,0.6404622197,193.5999908,3555.748047,2.475924492,1285.667358
