Size,Accuracy,Act Size Max,Act Size Sum,Loss,Weight Size
2,0.4370117188,96.79999542,1859.388062,3.333392143,698.9400024
2.1,0.4410807192,96.79999542,1910.720093,3.324096441,716.2841187
2.2,0.4527994692,96.79999542,1981.104126,3.274454117,729.0840454
2.3,0.4814453125,96.79999542,2035.096069,3.140928984,735.7400513
2.4,0.4926757813,145.2000122,2142.414063,3.096815109,761.4680176
2.5,0.5182291865,145.2000122,2245.060303,2.961753607,818.5560913
2.6,0.544596374,145.2000122,2334.568115,2.869712114,839.2920532
2.7,0.5598958135,145.2000122,2411.636475,2.805594206,871.1640625
2.8,0.5724284053,145.2000122,2495.420166,2.777246714,901.3080444
2.9,0.5696614385,145.2000122,2584.144287,2.771840334,933.500061
3,0.5659179688,145.2000122,2675.560303,2.799540758,940.8410034
3.1,0.5677083135,145.2000122,2767.864014,2.782162905,973.1610718
3.2,0.5791015625,145.2000122,2857.032227,2.748264551,1005.673035
3.3,0.583984375,145.2000122,2930.996094,2.725107193,1033.256958
3.4,0.5906575322,193.5999908,3029.095947,2.695625305,1061.609009
3.5,0.5944010615,193.5999908,3125.470459,2.670953035,1098.601074
3.6,0.597330749,193.5999908,3208.89624,2.649885893,1138.473022
3.7,0.601888001,193.5999908,3298.095947,2.639079809,1166.697144
3.8,0.6064453125,193.5999908,3384.572266,2.628541946,1209.256958
3.9,0.6066080928,193.5999908,3473.296143,2.619499922,1232.361206
4,0.601888001,193.5999908,3555.748047,2.636335135,1264.601074
